run_id,experiment_id,trial_id,timestamp,row,y
794,12,9,None,None,None
794,12,8,None,None,None
794,12,7,None,None,None
794,12,6,None,None,None
794,12,5,None,None,None
794,12,4,None,None,None
794,12,3,None,None,None
794,12,2,None,None,None
794,12,1,None,None,None
794,12,0,None,None,None
794,11,9,95.397919416428,438,-4.027804851532
794,11,8,None,None,None
794,11,7,None,None,None
794,11,6,None,None,None
794,11,5,None,None,None
794,11,4,None,None,None
794,11,3,None,None,None
794,11,2,None,None,None
794,11,1,None,None,None
794,11,0,None,None,None
794,10,9,91.78688377142,385,-4.0624961853027
794,10,8,94.51100230217,401,-3.9159872531891
794,10,7,None,None,None
794,10,6,None,None,None
794,10,5,None,None,None
794,10,4,None,None,None
794,10,3,None,None,None
794,10,2,None,None,None
794,10,1,None,None,None
794,10,0,None,None,None
794,9,9,76.17050409317,301,-3.3500788211823
794,9,8,82.972206175327,337,-3.7936456203461
794,9,7,83.208963274956,339,-3.3608915805817
794,9,6,87.009862065315,376,-3.5142643451691
794,9,5,81.559807062149,340,-3.6569826602936
794,9,4,84.622263908386,352,-3.5731420516968
794,9,3,82.187153398991,349,-3.5355877876282
794,9,2,87.64474093914,365,-3.4137451648712
794,9,1,73.841877281666,289,-3.3294448852539
794,9,0,71.569040417671,324,-3.3743076324463
794,8,9,65.746165812016,245,-3.144523859024
794,8,8,67.693449556828,251,-3.3214643001556
794,8,7,71.933194994926,282,-3.3510913848877
794,8,6,70.426687598228,272,-3.5268177986145
794,8,5,69.91520524025,270,-3.4300215244293
794,8,4,75.214885175228,311,-3.5326561927795
794,8,3,73.537036776543,289,-3.3173952102661
794,8,2,73.79999756813,313,-3.1371240615845
794,8,1,72.61648029089,290,-2.8221282958984
794,8,0,89.939549565315,358,-3.6054575443268
794,7,9,66.806271672249,249,-2.631933927536
794,7,8,71.268983185291,270,-3.3929753303528
794,7,7,73.011964559555,273,-3.1746528148651
794,7,6,79.943493008614,320,-3.8547351360321
794,7,5,86.346119642258,342,-3.5303683280945
794,7,4,87.752677500248,354,-3.8687975406647
794,7,3,77.921569347382,318,-3.6021838188171
794,7,2,75.842879712582,296,-3.7439687252045
794,7,1,85.754297673702,372,-3.6755871772766
794,7,0,77.556885778904,312,-3.6097428798676
794,6,9,62.704965472221,246,-3.1840097904205
794,6,8,61.823695898056,239,-2.7684502601624
794,6,7,63.799574971199,263,-3.0967297554016
794,6,6,62.991999089718,251,-2.9626803398132
794,6,5,62.967918813229,246,-3.1515233516693
794,6,4,62.372587621212,244,-2.7505421638489
794,6,3,67.454718053341,283,-3.3963816165924
794,6,2,67.494712769985,281,-3.3817353248596
794,6,1,67.655369639397,369,-3.2003073692322
794,6,0,67.673645913601,305,-3.0480809211731
794,5,9,68.499326705933,271,-3.3026769161224
794,5,8,67.205183207989,275,-3.4262499809265
794,5,7,69.09117102623,294,-3.3039095401764
794,5,6,67.079178988934,288,-3.0154283046722
794,5,5,69.038346409798,290,-3.305216550827
794,5,4,69.708697497845,287,-3.467823266983
794,5,3,67.523829638958,260,-3.3390233516693
794,5,2,63.807532191277,254,-2.7318522930145
794,5,1,68.016044795513,277,-3.2717804908752
794,5,0,66.297374665737,338,-3.2401559352875
794,1,9,57.680878788233,273,-3.0429041385651
794,1,8,54.137632250786,247,-2.8221578598022
794,1,7,57.411819696426,282,-3.2483365535736
794,1,6,52.678346633911,253,-3.0890696048737
794,1,5,51.011580973864,238,-2.5528881549835
794,1,4,41.521765291691,195,-2.4386520385742
794,1,3,42.86877065897,207,-2.5366179943085
794,1,2,43.252948671579,222,-2.4243388175964
794,1,1,41.573476046324,159,-1.7148849964142
794,1,0,42.777739465237,121,-2.29616522789
794,3,9,65.196089446545,302,-3.4180698394775
794,3,8,64.660012722015,292,-3.3294746875763
794,3,7,62.99053132534,283,-3.3535308837891
794,3,6,65.735518932343,305,-3.439270734787
794,3,5,64.942978322506,304,-3.2957346439362
794,3,4,65.422803163528,304,-3.3748292922974
794,3,3,65.750919282436,316,-3.300222158432
794,3,2,66.000930964947,297,-3.3326077461243
794,3,1,64.902625977993,295,-3.3191230297089
794,3,0,68.249821662903,278,-3.3287355899811
794,2,9,65.144330263138,296,-3.1975412368774
794,2,8,65.482713282108,314,-3.4242186546326
794,2,7,65.83409011364,285,-3.5588781833649
794,2,6,66.349245607853,310,-3.5469148159027
794,2,5,68.338647484779,322,-3.7170743942261
794,2,4,67.389890551567,303,-3.8785846233368
794,2,3,65.411187708378,292,-3.0092244148254
794,2,2,65.210402011871,296,-3.4313604831696
794,2,1,64.649298787117,304,-3.3483760356903
794,2,0,68.593367934227,253,-3.6661620140076
794,4,9,74.613884091377,312,-3.6815450191498
794,4,8,71.557648479939,309,-3.3125050067902
794,4,7,73.860265314579,309,-2.995938539505
794,4,6,86.89808100462,380,-3.6318919658661
794,4,5,85.430428385735,362,-3.9764542579651
794,4,4,87.949611246586,377,-3.5737657546997
794,4,3,83.773829042912,357,-4.1667981147766
794,4,2,86.605049669743,371,-3.7229812145233
794,4,1,81.726491451263,330,-3.8238623142242
794,4,0,77.452071011066,301,-3.4541003704071
